date,station_key,station_id,station_name,attendance_station,attendance_line_total,move_intervals_count,movements_per_8h_station,movements_per_8h_line,avg_active_move_hours,line_avg_active_move_hours,cache_rows,cache_expected_rows,cache_complete
2026-02-03,16,16,Estacion 1 (Line 3),16,52,1,1.153259808744388,1.3610129485834028,6.936858407222222,5.877974936481481,7,7,True
2026-02-03,17,17,Estacion 2 (Line 1),12,52,2,1.241664374194056,1.3610129485834028,6.442964915694444,5.877974936481481,7,7,True
2026-02-03,18,18,Estacion 2 (Line 2),12,52,2,1.3241863619482486,1.3610129485834028,6.041445698194446,5.877974936481481,7,7,True
2026-02-03,19,19,Estacion 2 (Line 3),12,52,1,1.2038853121601873,1.3610129485834028,6.645151260833334,5.877974936481481,7,7,True
2026-02-03,20,20,Estacion 3 (Line 1),12,52,2,1.2573981010337631,1.3610129485834028,6.362344585555555,5.877974936481481,7,7,True
2026-02-03,21,21,Estacion 3 (Line 2),12,52,2,1.3634628665050066,1.3610129485834028,5.86741318486111,5.877974936481481,7,7,True
2026-02-03,22,22,Estacion 3 (Line 3),12,52,1,1.1966556198315847,1.3610129485834028,6.685298483055556,5.877974936481481,7,7,True
2026-02-03,23,23,Estacion 4 (Line 1),10,52,2,1.794719176232124,1.3610129485834028,4.457521881944444,5.877974936481481,7,7,True
2026-02-03,24,24,Estacion 4 (Line 2),10,52,2,1.5841847467261385,1.3610129485834028,5.049916063472222,5.877974936481481,7,7,True
2026-02-03,25,25,Estacion 4 (Line 3),10,52,1,1.7563147965542092,1.3610129485834028,4.554992086666667,5.877974936481481,7,7,True
2026-02-03,26,26,Estacion 5 (Line 1),16,52,2,1.2918386067005256,1.3610129485834028,6.1927240434722215,5.877974936481481,7,7,True
2026-02-03,27,27,Estacion 5 (Line 2),16,52,2,1.5068032859370628,1.3610129485834028,5.30925308875,5.877974936481481,7,7,True
2026-02-03,28,28,Estacion 5 (Line 3),16,52,1,1.6783212323342176,1.3610129485834028,4.766667933333334,5.877974936481481,7,7,True
2026-02-03,29,29,Estacion 6 (Line 1),15,52,2,1.376651714653146,1.3610129485834028,5.811201130138888,5.877974936481481,7,7,True
2026-02-03,30,30,Estacion 6 (Line 2),15,52,2,1.3122949959669599,1.3610129485834028,6.096190280833334,5.877974936481481,7,7,True
2026-02-03,31,31,Estacion 6 (Line 3),15,52,1,1.1920592093819224,1.3610129485834028,6.711076041388888,5.877974936481481,7,7,True
2026-02-04,11,11,Armado (Line 1),9,51,0,,1.279791115767247,,6.251020109015152,7,7,True
2026-02-04,12,12,Armado (Line 2),9,51,1,1.1706043339546666,1.279791115767247,6.834076867777778,6.251020109015152,7,7,True
2026-02-04,13,13,Armado (Line 3),9,51,1,1.660467903309282,1.279791115767247,4.817919084166666,6.251020109015152,7,7,True
2026-02-04,14,14,Estacion 1 (Line 1),15,51,1,1.1207637876885646,1.279791115767247,7.1379893674999995,6.251020109015152,7,7,True
2026-02-04,15,15,Estacion 1 (Line 2),15,51,2,1.1799960004178969,1.279791115767247,6.779683996527778,6.251020109015152,7,7,True
2026-02-04,16,16,Estacion 1 (Line 3),15,51,2,1.3024914906158465,1.279791115767247,6.142074675833333,6.251020109015152,7,7,True
2026-02-04,17,17,Estacion 2 (Line 1),12,51,1,1.1545904479963793,1.279791115767247,6.928863835555556,6.251020109015152,7,7,True
2026-02-04,18,18,Estacion 2 (Line 2),12,51,2,1.1648710689612367,1.279791115767247,6.867712842361111,6.251020109015152,7,7,True
2026-02-04,19,19,Estacion 2 (Line 3),12,51,2,1.7295390326776967,1.279791115767247,4.625509947361111,6.251020109015152,7,7,True
2026-02-04,20,20,Estacion 3 (Line 1),12,51,1,1.1438599009213781,1.279791115767247,6.993863491111112,6.251020109015152,7,7,True
2026-02-04,21,21,Estacion 3 (Line 2),12,51,2,1.186496807797944,1.279791115767247,6.7425381572222225,6.251020109015152,7,7,True
2026-02-04,22,22,Estacion 3 (Line 3),12,51,2,1.1795294523514905,1.279791115767247,6.7823656154166665,6.251020109015152,7,7,True
2026-02-04,23,23,Estacion 4 (Line 1),10,51,1,1.1682453048105186,1.279791115767247,6.847876868888889,6.251020109015152,7,7,True
2026-02-04,24,24,Estacion 4 (Line 2),10,51,2,1.1890872863660102,1.279791115767247,6.727849243472222,6.251020109015152,7,7,True
2026-02-04,25,25,Estacion 4 (Line 3),10,51,2,1.318926466468692,1.279791115767247,6.065539060277778,6.251020109015152,7,7,True
2026-02-04,26,26,Estacion 5 (Line 1),16,51,1,1.1718676502211915,1.279791115767247,6.826709482499999,6.251020109015152,7,7,True
2026-02-04,27,27,Estacion 5 (Line 2),16,51,2,1.2476019776595895,1.279791115767247,6.41230147375,6.251020109015152,7,7,True
2026-02-04,28,28,Estacion 5 (Line 3),16,51,2,1.2786617574635535,1.279791115767247,6.2565412262499995,6.251020109015152,7,7,True
2026-02-04,29,29,Estacion 6 (Line 1),15,51,1,1.1762689132302553,1.279791115767247,6.801165881388889,6.251020109015152,7,7,True
2026-02-04,30,30,Estacion 6 (Line 2),15,51,3,1.7274454993574606,1.279791115767247,4.631115715648149,6.251020109015152,7,7,True
2026-02-04,31,31,Estacion 6 (Line 3),15,51,2,1.290570381115463,1.279791115767247,6.198809547361111,6.251020109015152,7,7,True
2026-02-05,11,11,Armado (Line 1),9,51,1,1.1042800939667807,1.2788894152957362,7.244538811944444,6.255427486003584,7,7,True
2026-02-05,12,12,Armado (Line 2),9,51,1,1.2507492429853453,1.2788894152957362,6.396166173888889,6.255427486003584,7,7,True
2026-02-05,13,13,Armado (Line 3),9,51,0,,1.2788894152957362,,6.255427486003584,7,7,True
2026-02-05,14,14,Estacion 1 (Line 1),15,51,2,1.3074964207123183,1.2788894152957362,6.118563594722222,6.255427486003584,7,7,True
2026-02-05,15,15,Estacion 1 (Line 2),15,51,1,1.2495393846395269,1.2788894152957362,6.402359219999999,6.255427486003584,7,7,True
2026-02-05,16,16,Estacion 1 (Line 3),15,51,2,1.2253194629828101,1.2788894152957362,6.528909595972222,6.255427486003584,7,7,True
2026-02-05,17,17,Estacion 2 (Line 1),13,51,2,1.313614896331914,1.2788894152957362,6.090064921111112,6.255427486003584,7,7,True
2026-02-05,18,18,Estacion 2 (Line 2),13,51,1,1.2713626458393004,1.2788894152957362,6.292461105555556,6.255427486003584,7,7,True
2026-02-05,19,19,Estacion 2 (Line 3),13,51,2,1.2476974065762856,1.2788894152957362,6.411811035138888,6.255427486003584,7,7,True
2026-02-05,20,20,Estacion 3 (Line 1),13,51,2,1.7184051113301315,1.2788894152957362,4.655479634722222,6.255427486003584,7,7,True
2026-02-05,21,21,Estacion 3 (Line 2),13,51,1,1.2890435023961853,1.2788894152957362,6.206152069444444,6.255427486003584,7,7,True
2026-02-05,22,22,Estacion 3 (Line 3),13,51,2,0.9878009724233979,1.2788894152957362,8.098797453472223,6.255427486003584,7,7,True
2026-02-05,23,23,Estacion 4 (Line 1),10,51,2,1.3128153974633683,1.2788894152957362,6.093773744166667,6.255427486003584,7,7,True
2026-02-05,24,24,Estacion 4 (Line 2),10,51,1,1.295611168904309,1.2788894152957362,6.1746920619444445,6.255427486003584,7,7,True
2026-02-05,25,25,Estacion 4 (Line 3),10,51,2,1.387534838298794,1.2788894152957362,5.765620998611111,6.255427486003584,7,7,True
2026-02-05,26,26,Estacion 5 (Line 1),16,51,2,1.3078915883180198,1.2788894152957362,6.116714926111111,6.255427486003584,7,7,True
2026-02-05,27,27,Estacion 5 (Line 2),16,51,1,1.3119732665300865,1.2788894152957362,6.097685222777779,6.255427486003584,7,7,True
2026-02-05,28,28,Estacion 5 (Line 3),16,51,2,1.295061662683784,1.2788894152957362,6.177312038888888,6.255427486003584,7,7,True
2026-02-05,29,29,Estacion 6 (Line 1),14,51,2,1.2970092500632155,1.2788894152957362,6.168036195277778,6.255427486003584,7,7,True
2026-02-05,30,30,Estacion 6 (Line 2),14,51,0,,1.2788894152957362,,6.255427486003584,7,7,True
2026-02-05,31,31,Estacion 6 (Line 3),14,51,2,1.2644194068941406,1.2788894152957362,6.327014562083334,6.255427486003584,7,7,True
